Sample	Coverage	Pangolin	Scorpio	Nextclade	WHO clade	Note
Coinfection-nanopore2020-10%-error-50%-minor-variant_lineage_A	99.71%	B.1.1.529		B.1		Usher placements: B.1.1.529(1/2) B.1.617.2(1/2)
Coinfection-nanopore2020-10%-error-50%-minor-variant_lineage_B	99.71%	B.1.1.529		B.1		Usher placements: B.1.1.529(1/2) B.1.617.2(1/2)
Coinfection-nanopore2020-2%-error-20%-minor-variant_lineage_A	99.81%	B.1.1.529	Probable Omicron (Unassigned)	B.1		Usher placements: B.1.1.529(1/2) BA.2(1/2); scorpio found insufficient support to assign a specific lineage
Coinfection-nanopore2020-2%-error-20%-minor-variant_lineage_B	99.94%	BA.2	Omicron (Unassigned)	BA.2.23	Omicron	Usher placements: BA.2(2/2); scorpio found insufficient support to assign a specific lineage
Coinfection-nanopore2020-20%-error-50%-minor-variant_lineage_A	99.79%	B.1.617.2		B.1		Usher placements: AY.1(1/20) B.1.617.2(19/20)
Coinfection-nanopore2020-20%-error-50%-minor-variant_lineage_B	99.71%	B.1.1.529		B.1		Usher placements: B.1.1.529(1/4) B.1.617.2(3/4)
Coinfection-nanopore2020-10%-error-20%-minor-variant_lineage_A	99.75%	B.1.1.529		B.1		Usher placements: B.1.1.529(1/1)
Coinfection-nanopore2020-10%-error-20%-minor-variant_lineage_B	99.86%	BA.2	Probable Omicron (Unassigned)	B.1.1		Usher placements: BA.2(2/2); scorpio found insufficient support to assign a specific lineage
Coinfection-nanopore2020-5%-error-10%-minor-variant_lineage_A	99.86%	BA.2	Omicron (Unassigned)	B.1.1		Usher placements: BA.2(10/10); scorpio found insufficient support to assign a specific lineage
Coinfection-nanopore2020-5%-error-10%-minor-variant_lineage_B	99.95%	BA.2	Omicron (Unassigned)	BA.2	Omicron	Usher placements: BA.2(1/1); scorpio found insufficient support to assign a specific lineage
Coinfection-nanopore2020-2%-error-10%-minor-variant_lineage_A	99.91%	BA.2	Probable Omicron (Unassigned)	XAP	recombinant	Usher placements: BA.2(1/1); scorpio found insufficient support to assign a specific lineage
Coinfection-nanopore2020-2%-error-10%-minor-variant_lineage_B	99.97%	BA.2	Omicron (BA.2-like)	BA.2	Omicron	Usher placements: BA.2(1/1)
Coinfection-nanopore2020-10%-error-10%-minor-variant_lineage_A	99.91%	BA.2	Omicron (Unassigned)	B.1.1.529	Omicron	Usher placements: BA.2(1/1); scorpio found insufficient support to assign a specific lineage
Coinfection-nanopore2020-10%-error-10%-minor-variant_lineage_B	99.97%	BA.2	Omicron (BA.2-like)	BA.2	Omicron	Usher placements: BA.2(1/1)
Coinfection-nanopore2020-10%-error-2%-minor-variant_lineage_A	99.98%	BA.2	Omicron (BA.2-like)	BA.2	Omicron	Usher placements: BA.2(4/4)
Coinfection-nanopore2020-10%-error-2%-minor-variant_lineage_B	100.0%	BA.2	Omicron (BA.2-like)	BA.2	Omicron	Usher placements: BA.2(2/2)
Coinfection-nanopore2020-2%-error-50%-minor-variant_lineage_A	99.7%	B.1.1.529		B.1		Usher placements: AY.1(1/28) B.1.1.529(1/28) B.1.617.2(26/28)
Coinfection-nanopore2020-2%-error-50%-minor-variant_lineage_B	99.7%	B.1.1.529		B.1		Usher placements: AY.1(1/28) B.1.1.529(1/28) B.1.617.2(26/28)
Coinfection-nanopore2020-5%-error-50%-minor-variant_lineage_A	99.73%	B.1.1.529		B.1		Usher placements: AY.1(1/28) B.1.1.529(1/28) B.1.617.2(26/28)
Coinfection-nanopore2020-5%-error-50%-minor-variant_lineage_B	99.7%	B.1.1.529		B.1		Usher placements: B.1.1.529(1/1)
Coinfection-nanopore2020-5%-error-20%-minor-variant_lineage_A	99.72%	B.1.1.529		B.1		Usher placements: B.1.1.529(1/1)
Coinfection-nanopore2020-5%-error-20%-minor-variant_lineage_B	99.82%	BA.2	Probable Omicron (Unassigned)	B.1.1		Usher placements: BA.2(1/1); scorpio found insufficient support to assign a specific lineage
Coinfection-nanopore2020-20%-error-20%-minor-variant_lineage_A	99.78%	B.1.617.2	Delta (B.1.617.2-like)	B.1		Usher placements: B.1(1/3) B.1.617.2(2/3)
Coinfection-nanopore2020-20%-error-20%-minor-variant_lineage_B	99.83%	BA.2	Probable Omicron (Unassigned)	B.1.1		Usher placements: BA.2(1/1); scorpio found insufficient support to assign a specific lineage
Coinfection-nanopore2020-20%-error-10%-minor-variant_lineage_A	99.93%	BA.2	Omicron (Unassigned)	BA.2	Omicron	Usher placements: BA.2(5/5); scorpio found insufficient support to assign a specific lineage
Coinfection-nanopore2020-20%-error-10%-minor-variant_lineage_B	99.99%	BA.2	Omicron (BA.2-like)	BA.2	Omicron	Usher placements: BA.2(5/5)
