taxon,lineage,conflict,ambiguity_score,scorpio_call,scorpio_support,scorpio_conflict,scorpio_notes,version,pangolin_version,scorpio_version,constellation_version,is_designated,qc_status,qc_notes,note
Coinfection-nanopore2020-10%-error-50%-minor-variant_lineage_A,B.1.1.529,0.5,,,,,,PUSHER-v1.25.1,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: B.1.1.529(1/2) B.1.617.2(1/2)
Coinfection-nanopore2020-10%-error-50%-minor-variant_lineage_B,B.1.1.529,0.5,,,,,,PUSHER-v1.25.1,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: B.1.1.529(1/2) B.1.617.2(1/2)
Coinfection-nanopore2020-2%-error-20%-minor-variant_lineage_A,B.1.1.529,0.5,,Probable Omicron (Unassigned),0.66,0.09,scorpio call: Alt alleles 21; Ref alleles 3; Amb alleles 5; Oth alleles 3,PUSHER-v1.25.1,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: B.1.1.529(1/2) BA.2(1/2); scorpio found insufficient support to assign a specific lineage
Coinfection-nanopore2020-2%-error-20%-minor-variant_lineage_B,BA.2,0.0,,Omicron (Unassigned),0.88,0.09,scorpio call: Alt alleles 28; Ref alleles 3; Amb alleles 1; Oth alleles 0,PUSHER-v1.25.1,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: BA.2(2/2); scorpio found insufficient support to assign a specific lineage
Coinfection-nanopore2020-20%-error-50%-minor-variant_lineage_A,B.1.617.2,0.05,,,,,,PUSHER-v1.25.1,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: AY.1(1/20) B.1.617.2(19/20)
Coinfection-nanopore2020-20%-error-50%-minor-variant_lineage_B,B.1.1.529,0.75,,,,,,PUSHER-v1.25.1,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: B.1.1.529(1/4) B.1.617.2(3/4)
Coinfection-nanopore2020-10%-error-20%-minor-variant_lineage_A,B.1.1.529,0.0,,,,,,PUSHER-v1.25.1,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: B.1.1.529(1/1)
Coinfection-nanopore2020-10%-error-20%-minor-variant_lineage_B,BA.2,0.0,,Probable Omicron (Unassigned),0.47,0.09,scorpio call: Alt alleles 15; Ref alleles 3; Amb alleles 13; Oth alleles 1,PUSHER-v1.25.1,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: BA.2(2/2); scorpio found insufficient support to assign a specific lineage
Coinfection-nanopore2020-5%-error-10%-minor-variant_lineage_A,BA.2,0.0,,Omicron (Unassigned),0.69,0.09,scorpio call: Alt alleles 22; Ref alleles 3; Amb alleles 6; Oth alleles 1,PUSHER-v1.25.1,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: BA.2(10/10); scorpio found insufficient support to assign a specific lineage
Coinfection-nanopore2020-5%-error-10%-minor-variant_lineage_B,BA.2,0.0,,Omicron (Unassigned),0.81,0.09,scorpio call: Alt alleles 26; Ref alleles 3; Amb alleles 3; Oth alleles 0,PUSHER-v1.25.1,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: BA.2(1/1); scorpio found insufficient support to assign a specific lineage
Coinfection-nanopore2020-2%-error-10%-minor-variant_lineage_A,BA.2,0.0,,Probable Omicron (Unassigned),0.69,0.19,scorpio call: Alt alleles 22; Ref alleles 6; Amb alleles 2; Oth alleles 2,PUSHER-v1.25.1,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: BA.2(1/1); scorpio found insufficient support to assign a specific lineage
Coinfection-nanopore2020-2%-error-10%-minor-variant_lineage_B,BA.2,0.0,,Omicron (BA.2-like),0.84,0.1,scorpio call: Alt alleles 52; Ref alleles 6; Amb alleles 1; Oth alleles 3,PUSHER-v1.25.1,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: BA.2(1/1)
Coinfection-nanopore2020-10%-error-10%-minor-variant_lineage_A,BA.2,0.0,,Omicron (Unassigned),0.81,0.09,scorpio call: Alt alleles 26; Ref alleles 3; Amb alleles 2; Oth alleles 1,PUSHER-v1.25.1,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: BA.2(1/1); scorpio found insufficient support to assign a specific lineage
Coinfection-nanopore2020-10%-error-10%-minor-variant_lineage_B,BA.2,0.0,,Omicron (BA.2-like),0.85,0.1,scorpio call: Alt alleles 53; Ref alleles 6; Amb alleles 2; Oth alleles 1,PUSHER-v1.25.1,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: BA.2(1/1)
Coinfection-nanopore2020-10%-error-2%-minor-variant_lineage_A,BA.2,0.0,,Omicron (BA.2-like),0.84,0.1,scorpio call: Alt alleles 52; Ref alleles 6; Amb alleles 2; Oth alleles 2,PUSHER-v1.25.1,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: BA.2(4/4)
Coinfection-nanopore2020-10%-error-2%-minor-variant_lineage_B,BA.2,0.0,,Omicron (BA.2-like),0.9,0.1,scorpio call: Alt alleles 56; Ref alleles 6; Amb alleles 0; Oth alleles 0,PUSHER-v1.25.1,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: BA.2(2/2)
Coinfection-nanopore2020-2%-error-50%-minor-variant_lineage_A,B.1.1.529,0.9642857142857143,,,,,,PUSHER-v1.25.1,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: AY.1(1/28) B.1.1.529(1/28) B.1.617.2(26/28)
Coinfection-nanopore2020-2%-error-50%-minor-variant_lineage_B,B.1.1.529,0.9642857142857143,,,,,,PUSHER-v1.25.1,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: AY.1(1/28) B.1.1.529(1/28) B.1.617.2(26/28)
Coinfection-nanopore2020-5%-error-50%-minor-variant_lineage_A,B.1.1.529,0.9642857142857143,,,,,,PUSHER-v1.25.1,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: AY.1(1/28) B.1.1.529(1/28) B.1.617.2(26/28)
Coinfection-nanopore2020-5%-error-50%-minor-variant_lineage_B,B.1.1.529,0.0,,,,,,PUSHER-v1.25.1,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: B.1.1.529(1/1)
