taxon,lineage,conflict,ambiguity_score,scorpio_call,scorpio_support,scorpio_conflict,scorpio_notes,version,pangolin_version,scorpio_version,constellation_version,is_designated,qc_status,qc_notes,note
Coinfection-nanopore2023-20%-error-2%-minor-variant,BA.2,0.0,,Omicron (BA.2-like),0.84,0.06,scorpio call: Alt alleles 52; Ref alleles 4; Amb alleles 5; Oth alleles 1,PUSHER-v1.25.1,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: BA.2(2/2)
Coinfection-nanopore2023-5%-error-50%-minor-variant,B.1.1.529,0.5,,,,,,PUSHER-v1.25.1,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: B.1.1.529(1/2) B.1.617.2(1/2)
Coinfection-nanopore2023-5%-error-2%-minor-variant,BA.2,0.0,,Omicron (BA.2-like),0.9,0.0,scorpio call: Alt alleles 56; Ref alleles 0; Amb alleles 6; Oth alleles 0,PUSHER-v1.25.1,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.03,Usher placements: BA.2(2/2)
Coinfection-nanopore2023-2%-error-20%-minor-variant,B.1.1.529,0.0,,,,,,PUSHER-v1.25.1,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: B.1.1.529(1/1)
Coinfection-nanopore2023-20%-error-5%-minor-variant,BA.2,0.0,,Probable Omicron (Unassigned),0.62,0.09,scorpio call: Alt alleles 20; Ref alleles 3; Amb alleles 9; Oth alleles 0,PUSHER-v1.25.1,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: BA.2(2/2); scorpio found insufficient support to assign a specific lineage
Coinfection-nanopore2023-10%-error-20%-minor-variant,B.1.1.529,0.0,,,,,,PUSHER-v1.25.1,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: B.1.1.529(1/1)
Coinfection-nanopore2023-10%-error-2%-minor-variant,BA.2,0.0,,Omicron (BA.2-like),0.9,0.08,scorpio call: Alt alleles 56; Ref alleles 5; Amb alleles 1; Oth alleles 0,PUSHER-v1.25.1,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.03,Usher placements: BA.2(2/2)
Coinfection-nanopore2023-20%-error-10%-minor-variant,BA.2,0.0,,,,,,PUSHER-v1.25.1,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: BA.2(2/2)
Coinfection-nanopore2023-5%-error-20%-minor-variant,B.1.1.529,0.0,,,,,,PUSHER-v1.25.1,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: B.1.1.529(1/1)
Coinfection-nanopore2023-5%-error-10%-minor-variant,BA.2,0.0,,Probable Omicron (Unassigned),0.53,0.09,scorpio call: Alt alleles 17; Ref alleles 3; Amb alleles 12; Oth alleles 0,PUSHER-v1.25.1,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: BA.2(2/2); scorpio found insufficient support to assign a specific lineage
Coinfection-nanopore2023-2%-error-5%-minor-variant,BA.2,0.0,,Omicron (BA.2-like),0.71,0.1,scorpio call: Alt alleles 44; Ref alleles 6; Amb alleles 12; Oth alleles 0,PUSHER-v1.25.1,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.03,Usher placements: BA.2(1/1)
Coinfection-nanopore2023-2%-error-2%-minor-variant,BA.2,0.0,,Omicron (BA.2-like),0.9,0.1,scorpio call: Alt alleles 56; Ref alleles 6; Amb alleles 0; Oth alleles 0,PUSHER-v1.25.1,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: BA.2(2/2)
Coinfection-nanopore2023-20%-error-50%-minor-variant,B.1.1.529,0.5,,,,,,PUSHER-v1.25.1,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: B.1.1.529(1/2) B.1.617.2(1/2)
Coinfection-nanopore2023-10%-error-50%-minor-variant,B.1.1.529,0.0,,,,,,PUSHER-v1.25.1,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: B.1.1.529(1/1)
Coinfection-nanopore2023-10%-error-10%-minor-variant,BA.2,0.0,,,,,,PUSHER-v1.25.1,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: BA.2(3/3)
Coinfection-nanopore2023-20%-error-20%-minor-variant,BA.2,0.0,,,,,,PUSHER-v1.25.1,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: BA.2(1/1)
Coinfection-nanopore2023-2%-error-10%-minor-variant,BA.2,0.0,,Probable Omicron (Unassigned),0.41,0.09,scorpio call: Alt alleles 13; Ref alleles 3; Amb alleles 16; Oth alleles 0,PUSHER-v1.25.1,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: BA.2(3/3); scorpio found insufficient support to assign a specific lineage
Coinfection-nanopore2023-10%-error-5%-minor-variant,BA.2,0.0,,Omicron (BA.2-like),0.89,0.1,scorpio call: Alt alleles 55; Ref alleles 6; Amb alleles 1; Oth alleles 0,PUSHER-v1.25.1,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: BA.2(2/2)
Coinfection-nanopore2023-5%-error-5%-minor-variant,BA.2,0.0,,Probable Omicron (Unassigned),0.66,0.09,scorpio call: Alt alleles 21; Ref alleles 3; Amb alleles 8; Oth alleles 0,PUSHER-v1.25.1,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: BA.2(2/2); scorpio found insufficient support to assign a specific lineage
Coinfection-nanopore2023-2%-error-50%-minor-variant,B.1.1.529,0.5,,,,,,PUSHER-v1.25.1,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: B.1.1.529(1/2) B.1.617.2(1/2)
