	summarized	lineages	abundances	resid	coverage
Coinfection-nanopore2020-2%-error-10%-minor-variant_variants.tsv	[('Omicron', 0.8999999980716129), ('Delta', 0.09999999977634452)]	BA.2.24 AY.41 BA.2 BA.2.52 BA.2.5 AY.39 AY.118 AY.44 B.1.1.529 B.1.617.2	0.83486490 0.04917440 0.02096400 0.01666670 0.01639340 0.01639340 0.01538460 0.01428570 0.01111100 0.00476190	11.507287061661273	97.79955188442631
Coinfection-nanopore2020-20%-error-10%-minor-variant_variants.tsv	[('Omicron', 0.8666669982171965), ('Delta', 0.1333329969216008)]	BA.2.62 AY.41 B.1.617.2 AY.32 AY.20 BA.2 AY.107 AY.104	0.85185200 0.06349210 0.01705400 0.01639340 0.01562500 0.01481500 0.01390610 0.00686240	12.652124348894207	97.6791626258235
Coinfection-nanopore2020-2%-error-50%-minor-variant_variants.tsv	[('Delta', 0.49086619877097615), ('Omicron', 0.4680849381679322), ('Other', 0.04104881795394394)]	AY.41 BA.2.62 BA.2.34 BA.2.28 B.1.1.158 AY.46 BA.2.44 BA.2.45 AY.103 BA.2.37 B.1.1.38 XV XZ	0.44827600 0.31315526 0.04081630 0.03636360 0.02564100 0.02564100 0.02500000 0.01785710 0.01694920 0.01666669 0.01540782 0.01045800 0.00776799	18.58179936127217	99.57863759489014
Coinfection-nanopore2020-2%-error-20%-minor-variant_variants.tsv	[('Omicron', 0.8260869980298972), ('Delta', 0.17391299827110857)]	BA.2.62 BA.2 BA.2.23 AY.41 XAH AY.33 AY.42 BA.2.44 XAD BA.2.27 AY.93 B.1.1.529 AY.4.3	0.40018380 0.18312400 0.15284500 0.11864400 0.02793460 0.02000000 0.01785710 0.01694920 0.01639340 0.01612900 0.01538460 0.01252800 0.00202730	13.858749472061582	98.71584790823663
Coinfection-nanopore2020-5%-error-5%-minor-variant_variants.tsv	[('Omicron', 0.945945907574296), ('Delta', 0.03278688906860699), ('Other', 0.021267074477786273)]	BA.2.24 BA.2.27 AY.41 BA.2.22 BA.3 BA.2 B.1.134 AY.82 B.1.1.121 BA.5 BA.2.23 B.1.617.2	0.86818302 0.02439020 0.02127660 0.01428570 0.01412800 0.01289899 0.01198908 0.00997339 0.00927799 0.00728999 0.00477000 0.00153690	12.007928790351443	97.6758184797512
Coinfection-nanopore2020-5%-error-2%-minor-variant_variants.tsv	[('Omicron', 0.964911995361415), ('Delta', 0.01754390013075586), ('Other', 0.01690619902006676)]	BA.2.62 BA.2.81 BA.2.7 BA.2.34 BA.2-like B.1.381 BA.5.3.3 AY.44 AY.118	0.87436050 0.02272730 0.01923080 0.01851850 0.01754390 0.01690620 0.01253100 0.00897603 0.00856787	12.478052607178906	97.6557536033174
Coinfection-nanopore2020-20%-error-20%-minor-variant_variants.tsv	[('Omicron', 0.7499999807341643), ('Delta', 0.19230800127760408), ('Other', 0.05769199305990535)]	BA.2.24 AY.41 B.1.1.121 BA.2.87 BA.2.25.1 BA.2.34 BA.2.33 BA.2.81 BA.2.16 BA.2.36 BA.4.1.1 BA.4.4 BA.2.51 B.1.1.254 BA.2.12 B.1.1.529 B.26 XAJ	0.48760810 0.19230800 0.03896340 0.03654079 0.03174600 0.02500000 0.02380950 0.02325580 0.02083330 0.02040820 0.01960780 0.01785710 0.01666670 0.01538460 0.01529299 0.01000000 0.00334400 0.00137370	15.40423811856636	99.56191686452864
Coinfection-nanopore2020-20%-error-50%-minor-variant_variants.tsv	[('Omicron', 0.499999996262927), ('Delta', 0.4761899928738531), ('Other', 0.023810000689787815)]	AY.41 BA.2.62 BA.2.69 AY.46 BA.2.23 BA.2.56 BA.2.3 BA.5.3 AY.92 B.1.617.2 B.1.1.529 XG BA.2.47 B.1.1.192 B.1.124 XZ BA.5	0.38095200 0.22080590 0.12193020 0.05738099 0.03058500 0.02564100 0.02173910 0.02127660 0.02000000 0.01785700 0.01612900 0.01578600 0.01449280 0.01219500 0.01161500 0.00908100 0.00253340	16.16768347679607	99.57863759489014
Coinfection-nanopore2020-5%-error-50%-minor-variant_variants.tsv	[('Omicron', 0.4999999349525367), ('Delta', 0.44444396619050397), ('Other', 0.05555600442483193)]	AY.41 BA.2.62 BA.2 BA.2.23 BA.2.87 B.1.1.381 BA.2.11 AY.44 AY.116 AY.76 B.26 BA.2.3.14 B.1.1.201 B.20	0.38967857 0.21242047 0.15384598 0.06666698 0.03191496 0.02631580 0.02000005 0.01923080 0.01886790 0.01666670 0.01562500 0.01515149 0.01138322 0.00223199	17.752173308074354	99.57863759489014
Coinfection-nanopore2020-5%-error-20%-minor-variant_variants.tsv	[('Omicron', 0.7804879816929571), ('Delta', 0.20895499970503312), ('Other', 0.010557001331219439)]	BA.2.62 AY.41 BA.2.27 AY.98 BA.2.10.2 BA.2.10 B.1.1.398	0.73144488 0.19109790 0.02272730 0.01785710 0.01470590 0.01160990 0.01055700	14.579170695091534	99.33451493161222
Coinfection-nanopore2020-2%-error-5%-minor-variant_variants.tsv	[('Omicron', 0.9322029814232837), ('Delta', 0.05263159450654635), ('Other', 0.015165376822547582)]	BA.2.62 AY.41 BA.2.36 BA.2.3 B.1.1.254 B.1.1.529 AY.46.4 B.1.617.2 B.1.1.89	0.88373078 0.03773580 0.01923080 0.01639340 0.01388890 0.01284800 0.01065129 0.00424450 0.00127648	11.595309486169484	97.6825067718958
Coinfection-nanopore2020-10%-error-5%-minor-variant_variants.tsv	[('Omicron', 0.9285709323391346), ('Delta', 0.042553200851971854), ('Other', 0.0288758196201824)]	BA.2.24 AY.41 B.1.1.391 B.1.1.45 AY.116 AY.82 B.1.617.2	0.92857093 0.01785710 0.01449280 0.01438302 0.00925495 0.00925155 0.00618960	13.928217070033236	97.6825067718958
Coinfection-nanopore2020-2%-error-2%-minor-variant_variants.tsv	[('Omicron', 0.9824559980771725), ('Other', 0.017544004390923913)]	BA.2.62 BA.2.10 BA.2.23 B.1.220 BA.2.51 XZ BA.3 XAK BA.2.87	0.89747580 0.02272730 0.01949300 0.01754400 0.01754390 0.01322700 0.00626600 0.00321700 0.00250600	10.34629064062176	97.6791626258235
Coinfection-nanopore2020-10%-error-20%-minor-variant_variants.tsv	[('Omicron', 0.7868849088295857), ('Delta', 0.20289900308571837), ('Other', 0.010216010919601386)]	BA.2.24 AY.41 BA.2.11 BA.2.31 XZ B.1.617.2 BA.2.5 BA.2.33 BA.2.64 B.1.1.529 B.1.131 BA.2	0.57855077 0.18181800 0.05200298 0.04761900 0.03674299 0.02108100 0.01960780 0.01818179 0.01652558 0.01330000 0.01021601 0.00435400	14.443192081568412	99.30107347088921
Coinfection-nanopore2020-10%-error-2%-minor-variant_variants.tsv	[('Omicron', 0.9555548994185856), ('Other', 0.025934130374736505), ('Delta', 0.017543895764484913)]	BA.2.24 BA.2.18 BA.2.15 AY.120 B.1.1.145 B.1.1.192 B.1.617.2	0.90790891 0.02439019 0.02325580 0.01612900 0.01538449 0.01054964 0.00141490	11.986254603465527	97.6791626258235
Coinfection-nanopore2020-10%-error-50%-minor-variant_variants.tsv	[('Omicron', 0.5483869445370918), ('Delta', 0.441860022824741), ('Other', 0.00975296662947671)]	AY.41 BA.2.69 BA.2 BA.4.8 BA.2.23 BA.2.19 AY.42 BA.2.18 BA.2.33 BA.2.44 BA.2.52 AY.126 B.1.1.380 XK	0.40678000 0.15580130 0.13804799 0.09813997 0.05339199 0.02941180 0.02000000 0.01960780 0.01785710 0.01706800 0.01612900 0.01508002 0.00975297 0.00293200	18.183698579463556	99.57863759489014
