Sample	Coverage	Pangolin	Scorpio	Nextclade	WHO clade	Note
Coinfection-nanopore2023-5%-error-20%-minor-variant_lineage_A	99.73%	B.1.1.529		B.1		Usher placements: B.1.1.529(1/1)
Coinfection-nanopore2023-5%-error-20%-minor-variant_lineage_B	99.81%	BA.2	Probable Omicron (Unassigned)	B.1.1		Usher placements: BA.2(2/2); scorpio found insufficient support to assign a specific lineage
Coinfection-nanopore2023-20%-error-20%-minor-variant_lineage_A	99.75%	B.1.1.529		B.1		Usher placements: B.1.1.529(1/1)
Coinfection-nanopore2023-20%-error-20%-minor-variant_lineage_B	99.83%	BA.2	Probable Omicron (Unassigned)	B.1.1		Usher placements: BA.2(1/1); scorpio found insufficient support to assign a specific lineage
Coinfection-nanopore2023-10%-error-10%-minor-variant_lineage_A	99.95%	BA.2	Omicron (BA.2-like)	BA.2	Omicron	Usher placements: BA.2(2/2)
Coinfection-nanopore2023-10%-error-10%-minor-variant_lineage_B	99.95%	BA.2	Omicron (BA.2-like)	BA.2	Omicron	Usher placements: BA.2(2/2)
Coinfection-nanopore2023-2%-error-10%-minor-variant_lineage_A	99.83%	BA.2	Probable Omicron (Unassigned)	B.1		Usher placements: BA.2(1/1); scorpio found insufficient support to assign a specific lineage
Coinfection-nanopore2023-2%-error-10%-minor-variant_lineage_B	99.91%	BA.2	Omicron (Unassigned)	BA.2	Omicron	Usher placements: BA.2(1/1); scorpio found insufficient support to assign a specific lineage
Coinfection-nanopore2023-20%-error-50%-minor-variant_lineage_A	99.79%	B.1.617.2	Delta (B.1.617.2-like)	B.1.617.2	Delta	Usher placements: AY.1(1/22) B.1.617.2(21/22)
Coinfection-nanopore2023-20%-error-50%-minor-variant_lineage_B	99.7%	B.1.1.529		B.1		Usher placements: AY.1(1/28) B.1.1.529(1/28) B.1.617.2(26/28)
Coinfection-nanopore2023-2%-error-20%-minor-variant_lineage_A	99.74%	B.1.1.529	Probable Omicron (Unassigned)	B.1		Usher placements: B.1.1.529(1/1); scorpio found insufficient support to assign a specific lineage
Coinfection-nanopore2023-2%-error-20%-minor-variant_lineage_B	99.85%	BA.2	Probable Omicron (Unassigned)	B.1.1		Usher placements: BA.2(1/1); scorpio found insufficient support to assign a specific lineage
Coinfection-nanopore2023-10%-error-50%-minor-variant_lineage_A	99.77%	B.1.617.2		B.1		Usher placements: B.1.617.2(25/25)
Coinfection-nanopore2023-10%-error-50%-minor-variant_lineage_B	99.73%	B.1.1.529		B.1		Usher placements: B.1.1.529(1/11) B.1.617.2(10/11)
Coinfection-nanopore2023-5%-error-50%-minor-variant_lineage_A	99.73%	B.1.617.2		B.1		Usher placements: AY.1(1/25) B.1.617.2(24/25)
Coinfection-nanopore2023-5%-error-50%-minor-variant_lineage_B	99.69%	B.1.1.529		B.1		Usher placements: B.1.1.529(1/4) B.1.617.2(3/4)
Coinfection-nanopore2023-10%-error-20%-minor-variant_lineage_A	99.79%	B.1.1.529		B.1		Usher placements: B.1.1.529(1/1)
Coinfection-nanopore2023-10%-error-20%-minor-variant_lineage_B	99.79%	B.1.1.529		B.1		Usher placements: B.1.1.529(1/1)
Coinfection-nanopore2023-2%-error-50%-minor-variant_lineage_A	99.73%	B.1.1.529		B.1		Usher placements: AY.1(1/28) B.1.1.529(1/28) B.1.617.2(26/28)
Coinfection-nanopore2023-2%-error-50%-minor-variant_lineage_B	99.7%	B.1.1.529		B.1		Usher placements: AY.1(1/28) B.1.1.529(1/28) B.1.617.2(26/28)
Coinfection-nanopore2023-5%-error-5%-minor-variant_lineage_A	99.92%	BA.2	Omicron (Unassigned)	XZ	recombinant	Usher placements: BA.2(4/4); scorpio found insufficient support to assign a specific lineage
Coinfection-nanopore2023-5%-error-5%-minor-variant_lineage_B	99.99%	BA.2	Omicron (BA.2-like)	BA.2	Omicron	Usher placements: BA.2(3/3)
Coinfection-nanopore2023-2%-error-5%-minor-variant_lineage_A	99.98%	BA.2	Omicron (BA.2-like)	BA.2	Omicron	Usher placements: BA.2(1/1)
Coinfection-nanopore2023-2%-error-5%-minor-variant_lineage_B	99.98%	BA.2	Omicron (BA.2-like)	BA.2	Omicron	Usher placements: BA.2(1/1)
Coinfection-nanopore2023-20%-error-10%-minor-variant_lineage_A	99.95%	BA.2	Omicron (BA.2-like)	BA.2	Omicron	Usher placements: BA.2(1/1)
Coinfection-nanopore2023-20%-error-10%-minor-variant_lineage_B	99.95%	BA.2	Omicron (BA.2-like)	BA.2	Omicron	Usher placements: BA.2(1/1)
Coinfection-nanopore2023-5%-error-10%-minor-variant_lineage_A	99.89%	BA.2	Omicron (Unassigned)	XAP	recombinant	Usher placements: BA.2(1/1); scorpio found insufficient support to assign a specific lineage
Coinfection-nanopore2023-5%-error-10%-minor-variant_lineage_B	99.96%	BA.2	Omicron (BA.2-like)	BA.2	Omicron	Usher placements: BA.2(1/1)
